X,Y,Z,ElapsedTime,LoopTime
-0.16,0.04,-9.77,0.78,0.013
0.08,0.16,-10.08,0.79,0.012
0.55,0.43,-10.32,0.81,0.013
-0.12,0.08,-9.92,0.82,0.013
0.08,0.12,-10.08,0.83,0.012
0.12,0.00,-9.65,0.85,0.013
-0.12,0.55,-9.96,0.86,0.013
0.08,0.20,-10.00,0.87,0.012
0.08,0.00,-9.92,0.88,0.013
0.12,0.04,-10.08,0.90,0.013
0.04,-0.12,-9.77,0.91,0.012
0.12,0.00,-9.92,0.92,0.013
0.16,0.24,-10.16,0.93,0.012
0.24,0.04,-10.16,0.95,0.013
0.04,0.12,-9.92,0.96,0.013
0.12,0.04,-9.81,0.97,0.012
0.20,0.51,-10.36,0.98,0.013
0.04,0.12,-10.04,1.00,0.013
0.12,-0.04,-9.81,1.01,0.012
-0.08,0.24,-10.43,1.02,0.014
0.04,0.16,-10.08,1.04,0.012
0.08,-0.04,-9.77,1.05,0.012
-0.08,0.00,-10.08,1.06,0.013
0.39,-0.04,-10.12,1.07,0.013
-0.16,0.08,-9.89,1.09,0.012
0.00,0.20,-10.04,1.10,0.013
0.00,0.04,-10.08,1.11,0.013
-0.04,0.04,-10.16,1.12,0.012
0.00,0.04,-9.89,1.14,0.013
0.08,0.27,-10.36,1.15,0.012
0.24,0.67,-10.28,1.16,0.014
0.20,0.08,-9.85,1.17,0.012
0.12,0.12,-10.00,1.19,0.012
0.04,0.20,-9.69,1.20,0.014
-0.16,0.12,-9.89,1.21,0.012
0.08,0.04,-10.16,1.22,0.012
0.35,0.20,-10.12,1.24,0.014
-0.04,-0.12,-9.77,1.25,0.012
0.08,0.12,-10.00,1.26,0.013
0.04,-0.04,-9.73,1.28,0.012
0.08,0.12,-10.12,1.29,0.013
0.31,0.08,-9.89,1.30,0.013
0.04,0.00,-9.69,1.31,0.012
-0.04,-0.04,-9.81,1.33,0.013
0.31,0.12,-10.00,1.34,0.013
0.12,0.04,-9.92,1.35,0.012
0.00,0.16,-9.96,1.36,0.012
0.16,0.12,-9.69,1.38,0.014
0.12,0.00,-9.89,1.39,0.012
0.00,0.04,-10.00,1.40,0.012
0.27,0.43,-10.28,1.42,0.014
0.08,0.12,-9.92,1.43,0.012
0.08,0.04,-10.04,1.44,0.012
0.08,-0.04,-10.00,1.45,0.014
-0.04,-0.24,-9.89,1.47,0.012
0.08,0.08,-9.89,1.48,0.012
0.08,0.08,-10.08,1.49,0.013
-0.75,0.16,-9.81,1.50,0.013
0.20,0.24,-10.36,1.52,0.012
-0.04,0.08,-9.73,1.53,0.012
-0.16,0.00,-10.04,1.54,0.013
0.08,0.12,-10.00,1.55,0.013
-0.04,0.08,-9.85,1.57,0.012
0.16,0.00,-9.77,1.58,0.013
0.12,0.20,-10.36,1.59,0.013
0.04,0.16,-10.00,1.60,0.012
0.04,-0.04,-9.69,1.62,0.012
0.27,0.39,-10.16,1.63,0.014
0.00,0.00,-9.65,1.64,0.012
0.04,0.00,-9.81,1.65,0.012
0.08,-0.04,-9.85,1.67,0.014
0.39,0.24,-10.16,1.68,0.012
-0.04,0.04,-9.92,1.69,0.012
-0.08,0.04,-9.73,1.71,0.014
0.47,0.39,-10.24,1.72,0.012
-0.16,0.16,-10.51,1.73,0.013
0.12,0.12,-10.04,1.74,0.012
-0.08,-0.04,-9.89,1.76,0.013
-0.08,-0.16,-9.77,1.77,0.013
0.08,0.16,-9.96,1.78,0.012
0.20,0.08,-9.81,1.79,0.013
0.27,-0.27,-9.57,1.81,0.012
0.04,0.16,-10.12,1.82,0.012
0.00,0.00,-9.81,1.83,0.013
0.04,0.00,-9.85,1.84,0.013
-0.08,0.04,-9.81,1.86,0.012
0.08,0.04,-9.81,1.87,0.012
0.16,0.00,-10.00,1.88,0.014
-0.24,-0.04,-9.61,1.89,0.012
-0.12,-0.16,-9.85,1.91,0.012
0.12,0.04,-9.89,1.92,0.014
0.04,0.43,-10.51,1.93,0.012
0.12,0.31,-9.96,1.94,0.013
0.08,0.16,-9.92,1.96,0.012
0.04,0.24,-10.00,1.97,0.013
0.35,-0.04,-10.08,1.98,0.013
0.12,0.08,-10.00,1.99,0.012
0.04,0.27,-10.04,2.01,0.013
0.35,0.35,-10.24,2.02,0.013
0.04,0.04,-9.96,2.03,0.012
0.00,-0.04,-9.77,2.05,0.014
0.24,0.08,-10.00,2.06,0.012
0.00,0.12,-9.77,2.07,0.012
0.12,0.08,-9.92,2.08,0.012
0.00,0.04,-9.92,2.10,0.013
0.12,0.31,-9.96,2.11,0.012
0.12,-0.12,-9.77,2.12,0.012
0.12,0.00,-9.85,2.13,0.014
-0.16,-0.12,-9.69,2.15,0.012
-0.16,0.20,-9.89,2.16,0.012
0.00,0.04,-9.89,2.17,0.013
0.12,0.00,-9.85,2.18,0.013
0.04,0.12,-9.77,2.20,0.012
-0.08,0.08,-10.00,2.21,0.013
0.00,0.16,-9.96,2.22,0.013
0.04,-0.16,-9.89,2.23,0.012
0.04,-0.04,-9.96,2.25,0.013
0.12,0.12,-10.00,2.26,0.013
0.12,0.00,-9.85,2.27,0.012
0.59,0.24,-10.12,2.28,0.013
-0.16,0.04,-9.96,2.30,0.012
-0.12,0.08,-9.96,2.31,0.013
-0.31,0.00,-10.36,2.32,0.013
0.00,0.16,-10.00,2.33,0.012
0.12,0.16,-10.08,2.35,0.013
0.04,0.27,-10.00,2.36,0.012
0.08,0.43,-10.12,2.37,0.012
0.04,0.08,-9.85,2.39,0.014
0.20,-0.08,-9.81,2.40,0.012
0.16,0.12,-9.77,2.41,0.012
0.04,-0.16,-10.12,2.42,0.013
0.12,0.20,-10.00,2.44,0.013
0.12,0.00,-9.92,2.45,0.013
-0.08,0.04,-10.08,2.46,0.012
0.04,-0.12,-9.81,2.47,0.013
0.12,-0.08,-9.73,2.49,0.013
0.04,0.27,-9.81,2.50,0.012
0.00,0.08,-10.04,2.51,0.012
0.00,0.04,-10.20,2.52,0.014
-0.47,0.16,-10.00,2.54,0.012
0.00,0.12,-9.85,2.55,0.012
0.04,0.08,-9.92,2.56,0.014
0.16,0.35,-10.04,2.57,0.012
-0.16,0.31,-10.59,2.59,0.012
-0.04,0.08,-9.92,2.60,0.014
-0.12,-0.04,-9.92,2.61,0.012
-0.04,-0.12,-10.28,2.62,0.012
-0.08,-0.16,-9.92,2.64,0.013
0.08,0.12,-9.89,2.65,0.013
0.24,-0.24,-9.57,2.66,0.013
0.24,0.31,-10.20,2.68,0.012
0.08,0.04,-9.85,2.69,0.013
-0.08,0.16,-10.04,2.70,0.013
-0.27,-0.39,-9.65,2.71,0.012
0.12,-0.31,-9.65,2.73,0.013
0.08,0.12,-9.92,2.74,0.013
-0.04,0.35,-10.08,2.75,0.012
0.04,0.16,-10.20,2.76,0.012
0.00,0.00,-9.85,2.78,0.013
-0.16,-0.04,-9.85,2.79,0.012
-0.04,-0.35,-9.10,2.80,0.013
0.43,0.20,-9.96,2.81,0.013
0.00,0.00,-9.85,2.83,0.012
-0.08,-0.12,-9.89,2.84,0.012
0.00,0.04,-10.16,2.85,0.013
0.08,0.04,-9.92,2.86,0.013
-0.04,-0.16,-9.73,2.88,0.012
0.39,-0.12,-9.81,2.89,0.013
0.04,0.08,-9.85,2.90,0.013
-0.04,0.04,-9.69,2.91,0.012
0.12,-0.47,-9.53,2.93,0.013
0.20,0.12,-9.81,2.94,0.013
0.08,0.12,-10.00,2.95,0.013
-0.12,0.12,-10.20,2.97,0.012
0.16,0.16,-9.65,2.98,0.012
0.08,0.12,-10.00,2.99,0.014
-0.04,0.12,-10.00,3.00,0.012
0.12,0.00,-9.85,3.02,0.012
0.35,0.04,-9.73,3.03,0.014
0.24,0.16,-10.08,3.04,0.012
0.24,0.12,-9.96,3.05,0.012
0.12,0.16,-9.96,3.07,0.014
0.00,0.04,-9.89,3.08,0.012
0.12,0.08,-10.12,3.09,0.012
0.27,0.43,-10.43,3.10,0.013
0.08,0.08,-9.96,3.12,0.013
0.00,0.04,-10.08,3.13,0.012
0.24,0.08,-10.20,3.14,0.013
0.04,-0.08,-9.96,3.16,0.013
0.08,0.08,-10.04,3.17,0.013
-0.27,0.12,-9.85,3.18,0.012
-0.27,-0.08,-9.85,3.19,0.012
0.16,0.24,-9.96,3.21,0.014
0.20,0.08,-9.85,3.22,0.012
-0.04,0.71,-10.51,3.23,0.012
0.24,0.35,-9.30,3.24,0.014
0.08,0.12,-10.00,3.26,0.012
0.16,0.12,-10.00,3.27,0.012
0.24,-0.16,-9.73,3.28,0.014
0.00,0.08,-9.92,3.29,0.012
0.24,0.20,-10.16,3.31,0.012
0.31,-0.12,-9.65,3.32,0.013
-0.16,0.12,-9.81,3.33,0.013
0.20,0.20,-9.96,3.35,0.013
-0.35,0.31,-10.08,3.36,0.012
0.08,0.20,-10.20,3.37,0.013
0.12,0.12,-9.96,3.38,0.013
0.27,0.08,-9.89,3.40,0.012
0.16,0.16,-10.36,3.41,0.013
0.00,0.08,-9.96,3.42,0.013
-0.04,0.12,-10.08,3.43,0.012
0.00,0.51,-10.08,3.45,0.012
0.12,0.12,-9.89,3.46,0.014
0.16,0.16,-9.96,3.47,0.012
-0.20,-0.31,-9.65,3.48,0.013
-0.04,-0.08,-10.40,3.50,0.013
0.12,0.04,-9.89,3.51,0.012
0.24,-0.04,-9.92,3.52,0.013
0.27,0.16,-9.85,3.53,0.012
0.16,0.04,-9.85,3.55,0.013
0.04,0.04,-9.96,3.56,0.013
0.39,0.51,-10.08,3.57,0.012
0.08,0.12,-9.89,3.59,0.013
0.08,0.08,-10.04,3.60,0.013
0.24,0.35,-10.08,3.61,0.012
-0.24,0.31,-10.08,3.62,0.014
0.27,0.20,-10.04,3.64,0.012
0.12,0.04,-9.92,3.65,0.012
-0.35,-0.24,-9.45,3.66,0.013
-0.12,0.00,-10.00,3.67,0.013
0.08,0.27,-10.08,3.69,0.012
0.12,0.00,-10.12,3.70,0.012
0.47,0.08,-10.16,3.71,0.013
0.04,0.04,-9.89,3.72,0.013
0.08,0.00,-9.77,3.74,0.012
0.00,0.08,-10.20,3.75,0.013
-0.04,-0.04,-10.12,3.76,0.013
0.16,0.20,-9.96,3.77,0.012
-0.35,0.27,-10.00,3.79,0.012
0.08,0.00,-9.81,3.80,0.014
0.08,0.12,-9.96,3.81,0.012
-0.04,0.12,-10.00,3.82,0.012
0.00,-0.24,-10.00,3.84,0.014
-0.04,0.24,-10.08,3.85,0.012
0.12,0.00,-9.92,3.86,0.012
0.20,-0.12,-9.81,3.88,0.013
-0.08,0.00,-9.73,3.89,0.012
-0.04,-0.04,-9.89,3.90,0.012
-0.12,-0.12,-9.85,3.91,0.013
0.04,-0.04,-9.69,3.93,0.013
0.16,0.12,-10.00,3.94,0.013
0.08,0.08,-10.04,3.95,0.012
0.31,0.00,-10.04,3.96,0.013
-0.12,0.12,-10.59,3.98,0.013
0.04,0.08,-9.85,3.99,0.012
-0.20,0.16,-10.40,4.00,0.012
-0.20,-0.08,-9.53,4.01,0.014
0.00,0.16,-10.00,4.03,0.012
0.00,0.20,-10.24,4.04,0.013
0.08,-0.27,-9.53,4.05,0.013
0.24,0.12,-10.08,4.06,0.012
-0.08,0.08,-10.12,4.08,0.013
-0.47,0.00,-9.45,4.09,0.013
0.04,0.12,-9.77,4.10,0.012
0.00,0.20,-9.96,4.12,0.013
0.04,0.12,-10.04,4.13,0.012
0.04,0.16,-10.36,4.14,0.013
0.12,0.00,-9.89,4.15,0.013
0.16,0.04,-10.04,4.17,0.012
-0.16,0.12,-10.59,4.18,0.013
-0.16,-0.04,-9.61,4.19,0.013
0.00,0.08,-9.85,4.20,0.012
0.12,0.08,-10.12,4.22,0.014
-0.12,0.00,-9.89,4.23,0.012
0.16,0.12,-9.96,4.24,0.012
0.20,0.24,-10.16,4.25,0.013
-0.12,0.24,-10.08,4.27,0.013
0.24,0.20,-9.89,4.28,0.012
0.04,-0.04,-9.81,4.29,0.013
0.08,-0.04,-9.65,4.31,0.013
0.16,0.00,-9.77,4.32,0.012
0.12,0.12,-10.00,4.33,0.013
-0.04,0.24,-10.04,4.34,0.012
-0.12,0.31,-10.04,4.36,0.013
-0.12,0.00,-9.89,4.37,0.012
0.08,-0.04,-9.92,4.38,0.012
-0.08,-0.31,-10.24,4.39,0.014
-0.04,0.04,-10.16,4.41,0.012
0.12,0.12,-9.85,4.42,0.012
0.20,-0.12,-9.73,4.43,0.014
0.59,0.12,-9.89,4.44,0.012
0.16,0.16,-9.92,4.46,0.012
0.04,0.20,-10.04,4.47,0.013
0.55,0.16,-10.36,4.48,0.013
-0.08,0.16,-10.24,4.49,0.013
0.08,-0.04,-9.69,4.51,0.012
0.00,-0.04,-9.89,4.52,0.013
0.16,0.39,-10.32,4.53,0.013
0.00,0.04,-9.89,4.54,0.012
-0.04,0.12,-9.77,4.56,0.013
-0.16,0.08,-9.69,4.57,0.013
-0.04,0.12,-10.20,4.58,0.012
0.08,0.04,-10.00,4.59,0.012
-0.31,0.08,-10.40,4.61,0.014
0.00,0.27,-10.12,4.62,0.012
0.12,0.04,-10.00,4.63,0.013
0.20,0.27,-10.28,4.65,0.013
0.31,0.08,-10.00,4.66,0.012
0.12,0.08,-10.16,4.67,0.013
-0.04,0.04,-9.96,4.68,0.012
0.04,0.04,-10.16,4.70,0.013
0.20,-0.12,-10.67,4.71,0.012
0.12,0.12,-9.92,4.72,0.012
0.27,0.08,-9.92,4.73,0.014
0.12,0.12,-10.04,4.75,0.012
0.08,0.00,-10.00,4.76,0.012
0.04,0.04,-9.96,4.77,0.014
0.24,-0.08,-10.00,4.78,0.012
0.08,0.08,-9.89,4.80,0.012
0.04,0.08,-9.89,4.81,0.013
-0.12,0.16,-10.47,4.82,0.013
-0.20,0.12,-9.89,4.83,0.012
0.16,0.16,-10.00,4.85,0.013
0.08,0.04,-10.00,4.86,0.013
0.08,-0.35,-9.53,4.87,0.012
0.08,0.31,-10.04,4.89,0.013
0.08,0.27,-10.08,4.90,0.013
0.16,0.31,-9.77,4.91,0.013
0.00,0.20,-10.08,4.92,0.012
0.08,-0.04,-9.81,4.94,0.012
0.16,0.00,-9.92,4.95,0.014
0.00,0.24,-10.16,4.96,0.012
0.00,0.08,-9.96,4.97,0.012
0.08,0.04,-10.00,4.99,0.014
0.16,0.55,-9.96,5.00,0.012
0.12,0.20,-10.16,5.01,0.012
0.08,0.12,-10.00,5.03,0.014
-0.04,0.24,-10.04,5.04,0.012
-0.12,0.00,-10.08,5.05,0.013
0.08,0.08,-9.85,5.06,0.012
-0.24,-0.08,-9.85,5.08,0.013
-0.04,-0.35,-9.77,5.09,0.013
-0.31,0.35,-10.24,5.10,0.012
0.20,0.24,-10.12,5.11,0.013
-0.16,-0.20,-9.49,5.13,0.013
0.24,0.00,-9.92,5.14,0.012
0.16,0.00,-9.89,5.15,0.012
-0.08,0.12,-10.12,5.16,0.014
-0.31,0.12,-9.96,5.18,0.012
0.00,0.00,-9.92,5.19,0.012
0.16,0.08,-9.92,5.20,0.014
0.43,0.16,-10.32,5.21,0.012
0.00,0.31,-10.08,5.23,0.012
0.04,0.08,-9.89,5.24,0.014
0.12,0.08,-9.85,5.25,0.012
0.24,0.00,-10.00,5.26,0.012
0.16,0.04,-9.92,5.28,0.013
-0.04,0.04,-9.77,5.29,0.013
0.12,0.08,-9.89,5.30,0.012
0.24,0.27,-9.81,5.32,0.013
0.00,0.08,-10.04,5.33,0.013
-0.20,0.00,-9.85,5.34,0.012
0.20,0.12,-10.24,5.35,0.013
0.04,0.08,-9.81,5.37,0.013
0.16,-0.08,-9.96,5.38,0.013
-0.51,-0.35,-9.57,5.39,0.012
-0.16,-0.16,-9.77,5.40,0.012
0.04,0.00,-9.92,5.42,0.014
-0.04,0.12,-9.77,5.43,0.012
-0.16,0.12,-9.69,5.44,0.012
0.04,0.00,-9.89,5.46,0.014
0.08,0.04,-10.04,5.47,0.012
-0.20,0.31,-10.00,5.48,0.012
-0.08,-0.04,-10.04,5.49,0.013
-0.16,0.08,-9.96,5.51,0.013
0.35,0.20,-10.16,5.52,0.012
0.08,-0.12,-9.61,5.53,0.013
0.08,0.12,-9.96,5.54,0.013
0.20,0.12,-10.04,5.56,0.012
0.08,0.39,-10.51,5.57,0.012
0.08,0.08,-9.96,5.58,0.013
0.00,0.04,-9.89,5.59,0.013
0.16,0.08,-9.73,5.61,0.012
0.16,0.16,-10.55,5.62,0.012
0.00,0.08,-9.96,5.63,0.014
0.27,0.16,-9.96,5.64,0.012
-0.04,0.08,-9.89,5.66,0.012
0.04,0.12,-9.85,5.67,0.014
0.04,0.08,-9.89,5.68,0.012
0.16,-0.27,-9.49,5.69,0.012
-0.12,-0.08,-10.00,5.71,0.014
-0.12,0.04,-9.89,5.72,0.012
0.27,-0.16,-9.92,5.73,0.013
0.12,0.27,-9.92,5.74,0.012
0.12,0.08,-9.92,5.76,0.013
0.04,0.16,-10.32,5.77,0.012
0.16,0.00,-9.73,5.78,0.013
0.04,0.04,-10.00,5.80,0.013
-0.08,-0.08,-9.73,5.81,0.012
0.43,0.16,-10.16,5.82,0.012
0.20,0.43,-9.96,5.83,0.012
0.12,0.20,-10.00,5.85,0.014
-0.24,0.04,-9.85,5.86,0.012
0.24,0.04,-10.08,5.87,0.012
0.08,0.04,-9.81,5.88,0.014
0.20,0.12,-9.85,5.90,0.012
0.24,-0.43,-9.49,5.91,0.012
0.00,-0.24,-9.69,5.92,0.014
-0.12,0.04,-9.92,5.93,0.012
-0.27,0.24,-9.85,5.95,0.012
0.04,0.08,-9.81,5.96,0.013
0.04,0.08,-9.96,5.97,0.013
0.35,0.24,-10.20,5.98,0.012
0.16,-0.35,-9.69,6.00,0.013
-0.20,0.04,-10.08,6.01,0.013
0.00,0.20,-10.04,6.02,0.013
0.04,0.00,-10.24,6.03,0.012
0.00,-0.08,-9.81,6.05,0.013
0.08,0.04,-9.85,6.06,0.013
0.00,0.00,-9.69,6.07,0.012
-0.08,-0.04,-9.85,6.08,0.012
-0.35,-0.12,-10.12,6.10,0.013
0.24,0.20,-10.16,6.11,0.013
-0.12,-0.16,-9.38,6.12,0.012
0.00,-0.04,-10.16,6.14,0.014
-0.04,0.00,-9.77,6.15,0.012
0.00,0.24,-10.40,6.16,0.012
-0.04,0.04,-10.12,6.17,0.013
0.12,0.16,-9.96,6.19,0.013
-0.20,0.12,-10.20,6.20,0.013
0.20,0.00,-10.12,6.21,0.012
-0.04,0.04,-9.85,6.22,0.013
0.20,0.08,-10.00,6.24,0.013
0.31,-0.08,-9.77,6.25,0.012
0.35,0.20,-9.92,6.26,0.013
0.16,0.12,-9.96,6.28,0.013
0.08,0.20,-10.12,6.29,0.012
0.08,-0.16,-9.89,6.30,0.012
0.00,-0.04,-10.00,6.31,0.014
0.20,0.12,-9.96,6.33,0.012
0.24,-0.16,-9.96,6.34,0.013
0.27,-0.04,-9.85,6.35,0.013
0.04,0.08,-9.92,6.36,0.012
0.39,0.35,-10.28,6.38,0.012
0.55,0.31,-10.04,6.39,0.013
0.00,0.04,-9.92,6.40,0.012
-0.04,0.12,-9.85,6.41,0.013
-0.16,0.04,-10.28,6.43,0.012
0.27,0.43,-10.20,6.44,0.013
0.04,0.08,-9.85,6.45,0.013
0.16,-0.20,-9.57,6.46,0.012
0.04,-0.08,-9.49,6.48,0.013
0.16,0.08,-10.00,6.49,0.013
0.00,0.20,-10.08,6.50,0.012
0.00,-0.20,-9.49,6.51,0.012
0.12,0.27,-10.20,6.53,0.014
0.20,0.20,-10.08,6.54,0.012
0.43,0.24,-10.24,6.55,0.013
0.35,0.20,-10.16,6.57,0.013
0.12,0.08,-10.00,6.58,0.012
-0.04,0.12,-10.47,6.59,0.013
0.04,0.00,-9.96,6.60,0.013
0.04,0.12,-9.85,6.62,0.013
0.16,0.24,-10.04,6.63,0.012
0.47,-0.24,-9.73,6.64,0.012
0.08,0.00,-10.20,6.65,0.014
-0.12,0.08,-9.92,6.67,0.012
0.20,0.00,-9.73,6.68,0.012
0.24,0.20,-9.96,6.69,0.014
0.00,0.08,-9.96,6.70,0.012
0.04,-0.04,-9.96,6.72,0.012
-0.39,-0.35,-9.69,6.73,0.013
0.12,-0.04,-10.43,6.74,0.013
0.16,0.00,-9.96,6.75,0.012
0.43,0.16,-10.24,6.77,0.013
0.08,0.08,-9.85,6.78,0.013
0.12,0.16,-9.96,6.79,0.012
0.12,-0.12,-9.81,6.81,0.013
-0.24,-0.16,-9.89,6.82,0.013
-0.27,0.16,-9.77,6.83,0.012
0.00,0.12,-10.08,6.84,0.013
0.08,0.27,-10.04,6.86,0.012
-0.04,0.16,-10.28,6.87,0.013
0.04,0.16,-9.92,6.88,0.013
0.39,0.24,-10.08,6.89,0.012
0.16,0.39,-9.81,6.91,0.014
0.08,0.08,-10.00,6.92,0.012
0.04,-0.16,-9.65,6.93,0.012
0.24,-0.04,-10.16,6.95,0.014
-0.12,0.20,-10.28,6.96,0.012
0.12,0.12,-9.92,6.97,0.013
0.00,0.24,-9.96,6.98,0.012
0.00,-0.12,-9.81,7.00,0.013
0.16,0.16,-9.96,7.01,0.013
0.00,0.24,-10.16,7.02,0.012
-0.39,0.20,-9.85,7.03,0.013
-0.31,0.08,-10.43,7.05,0.013
0.04,0.08,-9.89,7.06,0.012
-0.20,0.12,-10.24,7.07,0.013
0.08,0.12,-10.08,7.08,0.013
-0.08,0.08,-9.85,7.10,0.012
0.27,0.20,-10.00,7.11,0.012
0.16,0.00,-9.73,7.12,0.014
0.04,0.08,-10.00,7.13,0.012
0.12,0.08,-9.89,7.15,0.012
-0.12,0.20,-10.04,7.16,0.014
-0.04,0.31,-10.63,7.17,0.012
-0.04,0.20,-10.00,7.19,0.013
0.08,-0.16,-9.61,7.20,0.013
0.08,0.35,-10.12,7.21,0.012
0.00,0.08,-9.89,7.22,0.013
0.08,0.08,-10.00,7.24,0.012
0.12,0.31,-10.32,7.25,0.013
0.24,0.47,-10.36,7.26,0.012
0.16,0.16,-10.00,7.27,0.012
0.24,0.35,-10.08,7.29,0.014
0.00,0.12,-10.12,7.30,0.012
0.04,0.08,-10.04,7.31,0.013
0.24,0.12,-9.96,7.32,0.012
-0.12,0.16,-9.81,7.34,0.013
0.04,0.04,-9.65,7.35,0.013
0.08,0.08,-10.00,7.36,0.012
-0.31,0.12,-10.40,7.37,0.013
-0.24,0.20,-10.12,7.39,0.013
0.00,0.04,-9.77,7.40,0.012
0.31,0.12,-10.12,7.41,0.013
-0.16,0.24,-10.40,7.43,0.013
0.04,0.04,-9.85,7.44,0.012
0.00,0.20,-10.16,7.45,0.013
0.43,0.12,-9.81,7.46,0.013
0.12,0.27,-10.12,7.48,0.012
0.00,0.12,-10.00,7.49,0.013
-0.08,0.27,-9.81,7.50,0.013
-0.08,0.12,-9.77,7.51,0.012
0.16,0.08,-9.96,7.53,0.012
0.08,0.00,-10.00,7.54,0.013
0.08,0.43,-10.47,7.55,0.012
0.00,0.08,-9.85,7.56,0.012
0.04,0.12,-10.04,7.57,0.012
0.43,-0.27,-9.77,7.59,0.014
0.08,0.08,-9.81,7.60,0.012
0.08,0.20,-9.96,7.61,0.012
0.12,0.31,-10.16,7.63,0.014
0.20,0.16,-10.08,7.64,0.012
0.08,0.08,-9.96,7.65,0.012
0.04,-0.04,-10.08,7.66,0.014
-0.24,0.12,-10.59,7.68,0.012
0.39,0.16,-9.57,7.69,0.012
0.04,0.00,-9.89,7.70,0.013
0.08,0.20,-10.32,7.71,0.013
0.08,0.08,-9.89,7.73,0.012
0.00,0.04,-9.92,7.74,0.013
0.16,0.08,-10.00,7.75,0.013
0.47,0.20,-9.85,7.76,0.012
0.04,0.04,-9.85,7.78,0.013
-0.08,-0.12,-9.69,7.79,0.012
0.55,0.31,-10.20,7.80,0.013
0.04,0.20,-10.00,7.82,0.013
0.08,0.00,-9.92,7.83,0.012
0.12,0.04,-10.12,7.84,0.014
0.04,0.00,-9.81,7.85,0.012
0.04,0.04,-9.73,7.87,0.012
0.04,-0.04,-9.92,7.88,0.014
0.39,0.35,-10.36,7.89,0.012
0.04,0.12,-9.96,7.90,0.012
0.04,0.04,-9.92,7.92,0.013
-0.04,0.04,-9.73,7.93,0.013
0.08,0.20,-10.12,7.94,0.012
0.08,0.04,-9.81,7.95,0.013
0.08,0.00,-9.96,7.97,0.013
0.27,0.08,-10.20,7.98,0.012
0.20,-0.04,-10.20,7.99,0.013
0.12,0.00,-10.00,8.00,0.012
0.12,0.20,-9.85,8.02,0.013
0.08,-0.16,-9.85,8.03,0.013
0.04,0.00,-9.81,8.04,0.012
-0.04,0.12,-10.12,8.06,0.013
0.39,0.16,-10.40,8.07,0.013
0.20,-0.04,-9.92,8.08,0.012
0.16,-0.04,-9.85,8.09,0.013
0.47,0.35,-10.16,8.11,0.013
-0.08,0.12,-10.04,8.12,0.012
0.00,0.08,-10.04,8.13,0.013
0.00,-0.08,-9.89,8.14,0.013
0.04,-0.20,-9.89,8.16,0.012
0.12,0.04,-9.85,8.17,0.013
0.12,0.00,-10.00,8.18,0.013
0.04,-0.04,-10.00,8.19,0.012
0.04,0.24,-9.61,8.21,0.013
